arquivo,periodo_num,periodo,slug,titulo,autor,data_obra,licenca,credito,largura,altura,original_wxh,arquivo_commons,pagina_commons,resolvido_via,descricao
00-pre-historia_altamira-bisao.jpg,00,pre-historia,altamira-bisao,Bisão da Caverna de Altamira,Museo de Altamira y D. Rodríguez,2010-11-15 18:55:23,CC BY-SA 3.0,National Museum and Research Center of Altamira,1181,789,1181x789,9_Bisonte_Magdaleniense_polícromo.jpg,https://commons.wikimedia.org/wiki/File:9_Bisonte_Magdaleniense_pol%C3%ADcromo.jpg,wiki,Bison Magdalenian polychrome
00-pre-historia_bhimbetka.jpg,00,pre-historia,bhimbetka,Abrigos rupestres de Bhimbetka,Bernard Gagnon,2013-12-04,CC BY-SA 3.0,Own work,2000,1333,5184x3456,"Rock_Shelter_8,_Bhimbetka_02.jpg","https://commons.wikimedia.org/wiki/File:Rock_Shelter_8,_Bhimbetka_02.jpg",wiki,"Paintings in Rock Shelter 8, Bhimbetka, India"
00-pre-historia_chauvet-cavalos.jpg,00,pre-historia,chauvet-cavalos,Cavalos da Caverna de Chauvet,HTO,2009-05-22,Public domain,Self-photographed,1824,1840,1824x1840,Paintings_from_the_Chauvet_cave_(museum_replica).jpg,https://commons.wikimedia.org/wiki/File:Paintings_from_the_Chauvet_cave_(museum_replica).jpg,wiki,"Replica of the painting from the Chauvet cave, in the Anthropos museum, Brno. The original art is approximately 31,000 years old, probably Aurignacien. The group of horses probably does not picture a herd of them, but some kind of etiological study, showing, from left to right, calmness, aggression, sleep and grazing."
00-pre-historia_cueva-de-las-manos.jpg,00,pre-historia,cueva-de-las-manos,Cueva de las Manos (Argentina),Mariano,2005-08-12,Public domain,Own work,1600,1200,1600x1200,SantaCruz-CuevaManos-P2210651b.jpg,https://commons.wikimedia.org/wiki/File:SantaCruz-CuevaManos-P2210651b.jpg,wiki,"Hands at the Cuevas de las Manos upon Río Pinturas , near the town of Perito Moreno in Santa Cruz Province , Argentina . Picture taken by me in 2005."
00-pre-historia_gobekli-tepe.jpg,00,pre-historia,gobekli-tepe,Göbekli Tepe,Teomancimit,2011-09-06,CC BY-SA 3.0,Own work,2000,1328,4288x2848,"Göbekli_Tepe,_Urfa.jpg","https://commons.wikimedia.org/wiki/File:G%C3%B6bekli_Tepe,_Urfa.jpg",wiki,"Göbekli Tepe, Şanlıurfa"
00-pre-historia_homem-leao.jpg,00,pre-historia,homem-leao,Homem-Leão de Hohlenstein-Stadel,Dagmar Hollmann,2013-11-15,CC BY-SA 4.0,Own work,2218,3944,2218x3944,Loewenmensch1.jpg,https://commons.wikimedia.org/wiki/File:Loewenmensch1.jpg,wiki,"The lion man from the Stadel Cave in Hohlenstein, Lonetal."
00-pre-historia_laas-geel.jpg,00,pre-historia,laas-geel,Arte rupestre de Laas Geel (Chifre da África),Mheidegger,2024-02-23 15:52:08,CC BY 4.0,Own work,2000,1334,7952x5304,"Laas Geel, 2024.jpg","https://commons.wikimedia.org/wiki/File:Laas_Geel,_2024.jpg",search,Laas Geel
00-pre-historia_lascaux-touros.jpg,00,pre-historia,lascaux-touros,Pinturas rupestres de Lascaux (Salão dos Touros),EU,February 2006,Public domain,Own work,720,472,720x472,Lascaux_painting.jpg,https://commons.wikimedia.org/wiki/File:Lascaux_painting.jpg,wiki,"Aurochs, horses and deer painted on a cave"
00-pre-historia_newgrange.jpg,00,pre-historia,newgrange,Newgrange,Tjp finn,2016-08-26 17:55:18,CC BY-SA 4.0,Own work,3264,2448,3264x2448,Irelands_history.jpg,https://commons.wikimedia.org/wiki/File:Irelands_history.jpg,wiki,A front view of the Newgrange monument taken from outside the grounds
00-pre-historia_serra-da-capivara.jpg,00,pre-historia,serra-da-capivara,Pinturas rupestres da Serra da Capivara,Unknown author Unknown author,2013-12-02 00:11:45,CC BY-SA 3.0,This file was derived from: Serra da Capivara - Several Paintings 2.jpg,2295,1512,2295x1512,Serra da Capivara - Several Paintings 2b.jpg,https://commons.wikimedia.org/wiki/File:Serra_da_Capivara_-_Several_Paintings_2b.jpg,search,Pictograms in a cave in the Serra da Capivara
